place,team,team id,score,member name,member id,member email,member score,team bracket id,team bracket name,member bracket id,member bracket name
1,Team 2377,10,1300,,,,,,,,
,,,,compK-1,20,compK-1@skillsusa.org,700,,,,
,,,,compK-2,21,compK-2@skillsusa.org,600,,,,
2,Team 2646,13,1150,,,,,,,,
,,,,compP-1,26,compP-1@skillsusa.org,700,,,,
,,,,compP-2,27,compP-2@skillsusa.org,450,,,,
3,Team 2614,12,850,,,,,,,,
,,,,compS-1,24,compS-1@skillsusa.org,700,,,,
,,,,compS-2,25,compS-2@skillsusa.org,150,,,,
4,Team 3143,15,775,,,,,,,,
,,,,compU-1,30,compU-1@skillsusa.org,100,,,,
,,,,compU-2,31,compU-2@skillsusa.org,675,,,,
5,Team 2354,9,725,,,,,,,,
,,,,compJ-1,18,compJ-1@skillsusa.org,725,,,,
,,,,compJ-2,19,compJ-2@skillsusa.org,0,,,,
6,Team 1198,3,725,,,,,,,,
,,,,compD-1,6,compD-1@skillsusa.org,725,,,,
,,,,compD-2,7,compD-2@skillsusa.org,0,,,,
7,Team 3164,17,500,,,,,,,,
,,,,compW-1,34,compW-1@skillsusa.org,0,,,,
,,,,compW-2,35,compW-2@skillsusa.org,500,,,,
8,Team 1020,1,450,,,,,,,,
,,,,compB-1,2,compB-1@skillsusa.org,450,,,,
,,,,compB-2,3,compB-2@skillsusa.org,0,,,,
9,Team 2530,11,425,,,,,,,,
,,,,compM-1,22,compM-1@skillsusa.org,200,,,,
,,,,compM-2,23,compM-2@skillsusa.org,225,,,,
10,Team 1297,6,350,,,,,,,,
,,,,compE-1,12,compE-1@skillsusa.org,50,,,,
,,,,compE-2,13,compE-2@skillsusa.org,300,,,,
11,Team 5020,18,325,,,,,,,,
,,,,compA-3,36,compA-3@skillsusa.org,125,,,,
,,,,compA-4,37,compA-4@skillsusa.org,200,,,,
12,Team 2875,14,300,,,,,,,,
,,,,compT-1,28,compT-1@skillsusa.org,300,,,,
,,,,compT-2,29,compT-2@skillsusa.org,0,,,,
13,Team 1071,2,225,,,,,,,,
,,,,compA-1,4,compA-1@skillsusa.org,50,,,,
,,,,compA-2,5,compA-2@skillsusa.org,175,,,,
14,3902,22,150,,,,,,,,
,,,,compZ-1,43,compZ-1@skills.org,150,,,,
15,Team 3145,16,100,,,,,,,,
,,,,compV-1,32,compV-1@skillsusa.org,50,,,,
,,,,compV-2,33,compV-2@skillsusa.org,50,,,,
16,Team 1271,5,100,,,,,,,,
,,,,compF-1,10,compF-1@skillsusa.org,50,,,,
,,,,compF-2,11,compF-2@skillsusa.org,50,,,,
